converge_iter,n_cpu,n_init,n_label,neighborhood_type,obj_val,time
8,56,10,2,one_step,0.7483109179019215,1.419219732284546
18,56,10,3,one_step,1.563544108054908,4.82336950302124
18,56,10,4,one_step,2.09736214360556,7.033601760864258
27,56,10,5,one_step,3.0359099762982895,12.959330320358276
23,56,10,6,one_step,3.323144430117329,12.556622505187988
31,56,10,7,one_step,3.9026173005929197,17.90744662284851
19,56,10,8,one_step,4.527157069112606,13.160052299499512
35,56,10,9,one_step,5.05954543204823,24.50201392173767
33,56,10,10,one_step,5.630705499953271,26.607345581054688
27,56,10,11,one_step,6.3100386766408185,24.74420738220215
28,56,10,12,one_step,6.807254826493222,21.99195957183838
25,56,10,13,one_step,6.855786242717809,21.789077281951904
27,56,10,14,one_step,7.189272959379658,21.587735652923584
25,56,10,15,one_step,8.180360317831438,22.59329843521118
26,56,10,16,one_step,8.456365770152033,23.293816566467285
24,56,10,17,one_step,8.98659116483309,23.431270122528076
32,56,10,18,one_step,10.054384359713326,29.512879371643066
23,56,10,19,one_step,9.611627191942553,24.40169095993042
25,56,10,20,one_step,10.234654898472625,24.337746620178223
26,56,10,21,one_step,10.254811496564129,24.404058933258057
25,56,10,22,one_step,11.313640412394264,20.498860597610474
23,56,10,23,one_step,11.85903981582829,19.307687520980835
17,56,10,24,one_step,12.236942299820189,18.91431188583374
16,56,10,25,one_step,12.394676036571651,17.071440935134888
22,56,10,26,one_step,13.015533130484645,22.897696495056152
17,56,10,27,one_step,13.438223546803048,16.175275564193726
16,56,10,28,one_step,13.564607913704393,18.28181481361389
22,56,10,29,one_step,14.444773019124144,23.604047536849976
14,56,10,30,one_step,13.850149624232149,14.489010334014893
16,56,10,31,one_step,15.00490696151486,15.27448296546936
16,56,10,32,one_step,15.686290865614414,13.789289712905884
11,56,10,33,one_step,16.041327673968482,10.369203329086304
16,56,10,34,one_step,16.471378210783904,11.960002660751343
14,56,10,35,one_step,17.47938922129635,11.657063007354736
19,56,10,36,one_step,17.96175167645243,14.368159532546997
14,56,10,37,one_step,18.555850894139724,11.781085729598999
17,56,10,38,one_step,19.05221343566172,9.551641464233398
10,56,10,39,one_step,19.043207072520616,6.050423622131348
9,56,10,40,one_step,19.535677855655308,7.045222759246826
12,56,10,41,one_step,20.085666592498225,7.14175271987915
15,56,10,42,one_step,20.606646981330623,6.851675271987915
4,56,10,43,one_step,20.84409425574954,5.33375883102417
7,56,10,44,one_step,21.37317383274738,4.433678150177002
13,56,10,45,one_step,21.77186122598428,5.225407123565674
11,56,10,46,one_step,22.13016680800319,3.3231358528137207
7,56,10,47,one_step,23.06157853769497,3.0182578563690186
11,56,10,48,one_step,23.38186587361943,2.216600179672241
7,56,10,49,one_step,23.767376738846952,1.5139737129211426
6,56,10,50,one_step,24.262057454019068,1.1107513904571533
4,56,10,51,one_step,24.581307414777385,0.7076983451843262
5,56,10,52,one_step,25.34546670239085,0.510117769241333
3,56,10,53,one_step,25.781907921179034,0.5107929706573486
2,56,10,54,one_step,26.154513169901175,0.40984010696411133
8,56,10,2,complete,0.7483109179019215,1.4128928184509277
22,56,10,3,complete,1.5762113242975093,8.741455316543579
24,56,10,4,complete,2.3619305609038994,16.60324192047119
31,56,10,5,complete,3.065066295476701,32.43377375602722
40,56,10,6,complete,3.212190777731081,54.49534225463867
42,56,10,7,complete,4.510256473600601,72.88019323348999
43,56,10,8,complete,5.0971584942986095,92.56369161605835
42,56,10,9,complete,5.636454509847246,118.33706903457642
48,56,10,10,complete,6.386377933904241,156.68966603279114
44,56,10,11,complete,6.9215773287513604,178.7878589630127
46,56,10,12,complete,7.480836647890978,171.86818027496338
52,56,10,13,complete,8.132103635744258,232.0061752796173
45,56,10,14,complete,8.4834152766337,205.31814432144165
43,56,10,15,complete,9.0071691124692,228.35677671432495
43,56,10,16,complete,10.015307443896685,244.74242758750916
53,56,10,17,complete,10.467716843570997,278.9363899230957
43,56,10,18,complete,11.049451590414312,287.5105435848236
